Man,Hyd,CB1,CB5,Clth,Spp,samp,Gene,Genus
0.003046582,0.001549185,0.000309238,0.001389913,0.000987207,P_chit,3,Sp7,Petrotilapia
0.003222003,0.001236822,0.00056135,0.004260278,0.000597821,P_cyan,2,Sp7,Pseudotropheus
0.002689545,0.003231536,0.000271246,0.005713462,0.002016888,P_will,1,Sp7,Pseudotropheus
0.001996908,0.001430037,0.000169705,0.004176308,0.001581582,TGL,1,Sp7,Tropheops
0.000564822,0.005474938,0.000179665,0.001761812,0.00162034,TGL,2,Sp7,Tropheops
0.001852069,0.000745801,0.00021492,0.001380686,0.00079675,T_kum,2,Sp7,Tropheops
0.003418772,0.001528284,0.000624144,0.00350425,0.000913729,P_will,2,Sp7,Pseudotropheus
0.001083265,0.001872241,0.000529612,0.002289931,0.000701382,P_chit,1,Sp7,Petrotilapia
0.001614589,0.002054628,0.000163108,0.003495136,0.001650161,MCK,1,Sp7,Metriaclima
0.003407743,0.002013093,0.000412229,0.00235104,0.001169993,P_cyan,1,Sp7,Pseudotropheus
0.004222233,0.001490218,0.000281102,0.006869273,0.002906665,M_mben,1,Sp7,Metriaclima
0.00333061,0.001709537,0.00014171,0.001968827,0.001732619,M_mben,2,Sp7,Metriaclima
0.005965878,0.002552171,0.000620425,0.010509755,0.004780307,M_mben,3,Sp7,Metriaclima
0.002016002,0.000533649,9.88617E-05,0.002222485,0.000851587,L_trew,6,Sp7,Labeotropeus
0.00211803,0.000632486,3.95065E-05,0.002105292,0.000390352,L_trew,7,Sp7,Labeotropeus
0.002399816,0.001053663,0.000121026,0.004177633,0.001382687,T_kum,6,Sp7,Tropheops
0.001706927,,0.00015617,0.002282722,0.001633854,T_kum,7,Sp7,Tropheops
0.004365338,0.000581142,,0.00294939,0.000289351,L_fuelle,1,Sp7,Labeotropeus
0.00984206,0.003057875,0.000296178,0.003715651,0.001155793,M_mben,4,Sp7,Metriaclima
0.004159606,0.001577408,0.000631035,0.002925721,0.002220581,M_mben,5,Sp7,Metriaclima
0.007232815,0.005724415,0.00043549,0.004494255,0.001682756,M_mben,6,Sp7,Metriaclima
0.001134601,0.002539303,0.0003056,0.00178387,0.001519712,T_kum,8,Sp7,Tropheops
0.007857944,0.002573753,0.000310203,0.002711915,0.001882694,T_kum,9,Sp7,Tropheops